UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 04:42 ?        00:01:21 /sbin/init splash
root           2       0  0 04:42 ?        00:00:00 [kthreadd]
root           3       2  0 04:42 ?        00:00:00 [rcu_gp]
root           4       2  0 04:42 ?        00:00:00 [rcu_par_gp]
root           6       2  0 04:42 ?        00:00:00 [kworker/0:0H-kblockd]
root           9       2  0 04:42 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 04:42 ?        00:00:03 [ksoftirqd/0]
root          11       2  0 04:42 ?        00:01:13 [rcu_sched]
root          12       2  0 04:42 ?        00:00:00 [migration/0]
root          13       2  0 04:42 ?        00:00:00 [idle_inject/0]
root          14       2  0 04:42 ?        00:00:00 [cpuhp/0]
root          15       2  0 04:42 ?        00:00:00 [cpuhp/1]
root          16       2  0 04:42 ?        00:00:00 [idle_inject/1]
root          17       2  0 04:42 ?        00:00:00 [migration/1]
root          18       2  0 04:42 ?        00:00:00 [ksoftirqd/1]
root          20       2  0 04:42 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 04:42 ?        00:00:00 [cpuhp/2]
root          22       2  0 04:42 ?        00:00:00 [idle_inject/2]
root          23       2  0 04:42 ?        00:00:00 [migration/2]
root          24       2  0 04:42 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 04:42 ?        00:00:00 [kworker/2:0H-kblockd]
root          27       2  0 04:42 ?        00:00:00 [cpuhp/3]
root          28       2  0 04:42 ?        00:00:00 [idle_inject/3]
root          29       2  0 04:42 ?        00:00:00 [migration/3]
root          30       2  0 04:42 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 04:42 ?        00:00:00 [kworker/3:0H-kblockd]
root          33       2  0 04:42 ?        00:00:00 [cpuhp/4]
root          34       2  0 04:42 ?        00:00:00 [idle_inject/4]
root          35       2  0 04:42 ?        00:00:00 [migration/4]
root          36       2  0 04:42 ?        00:00:00 [ksoftirqd/4]
root          38       2  0 04:42 ?        00:00:00 [kworker/4:0H-kblockd]
root          39       2  0 04:42 ?        00:00:00 [cpuhp/5]
root          40       2  0 04:42 ?        00:00:00 [idle_inject/5]
root          41       2  0 04:42 ?        00:00:00 [migration/5]
root          42       2  0 04:42 ?        00:00:00 [ksoftirqd/5]
root          45       2  0 04:42 ?        00:00:00 [cpuhp/6]
root          46       2  0 04:42 ?        00:00:00 [idle_inject/6]
root          47       2  0 04:42 ?        00:00:01 [migration/6]
root          48       2  0 04:42 ?        00:00:00 [ksoftirqd/6]
root          50       2  0 04:42 ?        00:00:00 [kworker/6:0H-kblockd]
root          51       2  0 04:42 ?        00:00:00 [cpuhp/7]
root          52       2  0 04:42 ?        00:00:00 [idle_inject/7]
root          53       2  0 04:42 ?        00:00:00 [migration/7]
root          54       2  0 04:42 ?        00:00:00 [ksoftirqd/7]
root          56       2  0 04:42 ?        00:00:00 [kworker/7:0H-kblockd]
root          57       2  0 04:42 ?        00:00:00 [cpuhp/8]
root          58       2  0 04:42 ?        00:00:00 [idle_inject/8]
root          59       2  0 04:42 ?        00:00:00 [migration/8]
root          60       2  0 04:42 ?        00:00:00 [ksoftirqd/8]
root          62       2  0 04:42 ?        00:00:00 [kworker/8:0H-kblockd]
root          63       2  0 04:42 ?        00:00:00 [cpuhp/9]
root          64       2  0 04:42 ?        00:00:00 [idle_inject/9]
root          65       2  0 04:42 ?        00:00:00 [migration/9]
root          66       2  0 04:42 ?        00:00:00 [ksoftirqd/9]
root          68       2  0 04:42 ?        00:00:00 [kworker/9:0H-kblockd]
root          69       2  0 04:42 ?        00:00:00 [cpuhp/10]
root          70       2  0 04:42 ?        00:00:00 [idle_inject/10]
root          71       2  0 04:42 ?        00:00:00 [migration/10]
root          72       2  0 04:42 ?        00:00:00 [ksoftirqd/10]
root          74       2  0 04:42 ?        00:00:00 [kworker/10:0H-kblockd]
root          75       2  0 04:42 ?        00:00:00 [cpuhp/11]
root          76       2  0 04:42 ?        00:00:00 [idle_inject/11]
root          77       2  0 04:42 ?        00:00:00 [migration/11]
root          78       2  0 04:42 ?        00:00:00 [ksoftirqd/11]
root          80       2  0 04:42 ?        00:00:00 [kworker/11:0H-kblockd]
root          81       2  0 04:42 ?        00:00:00 [kdevtmpfs]
root          82       2  0 04:42 ?        00:00:00 [netns]
root          83       2  0 04:42 ?        00:00:00 [rcu_tasks_kthre]
root          84       2  0 04:42 ?        00:00:00 [kauditd]
root          87       2  0 04:42 ?        00:00:00 [khungtaskd]
root          88       2  0 04:42 ?        00:00:00 [oom_reaper]
root          89       2  0 04:42 ?        00:00:00 [writeback]
root          90       2  0 04:42 ?        00:00:00 [kcompactd0]
root          91       2  0 04:42 ?        00:00:00 [ksmd]
root          92       2  0 04:42 ?        00:00:00 [khugepaged]
root         139       2  0 04:42 ?        00:00:00 [kintegrityd]
root         140       2  0 04:42 ?        00:00:00 [kblockd]
root         141       2  0 04:42 ?        00:00:00 [blkcg_punt_bio]
root         145       2  0 04:42 ?        00:00:00 [tpm_dev_wq]
root         146       2  0 04:42 ?        00:00:00 [ata_sff]
root         147       2  0 04:42 ?        00:00:00 [md]
root         148       2  0 04:42 ?        00:00:00 [edac-poller]
root         149       2  0 04:42 ?        00:00:00 [devfreq_wq]
root         151       2  0 04:42 ?        00:00:00 [watchdogd]
root         153       2  0 04:42 ?        00:00:00 [kswapd0]
root         154       2  0 04:42 ?        00:00:00 [ecryptfs-kthrea]
root         156       2  0 04:42 ?        00:00:00 [kthrotld]
root         157       2  0 04:42 ?        00:00:00 [irq/123-pciehp]
root         158       2  0 04:42 ?        00:00:00 [irq/126-pciehp]
root         159       2  0 04:42 ?        00:00:00 [irq/128-pciehp]
root         167       2  0 04:42 ?        00:00:00 [acpi_thermal_pm]
root         169       2  0 04:42 ?        00:00:00 [vfio-irqfd-clea]
root         174       2  0 04:42 ?        00:00:00 [ipv6_addrconf]
root         183       2  0 04:42 ?        00:00:00 [kstrp]
root         186       2  0 04:42 ?        00:00:03 [kworker/u25:0-rb_allocator]
root         201       2  0 04:42 ?        00:00:00 [charger_manager]
root         265       2  0 04:42 ?        00:00:00 [nvme-wq]
root         266       2  0 04:42 ?        00:00:00 [nvme-reset-wq]
root         267       2  0 04:42 ?        00:00:00 [nvme-delete-wq]
root         273       2  0 04:42 ?        00:00:08 [irq/110-DELL09C]
